,Protein families
135259,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
363626,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
437177,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
182773,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
477780,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
138542,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
228683,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
221750,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
349825,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
476879,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106226,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
441169,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
431648,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
272963,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
309608,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
354903,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
458735,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
142815,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
234091,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
443046,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
455161,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
476717,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106962,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
7047,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
35516,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
479774,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22783,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
236455,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
357302,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
312933,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
131143,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440897,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
477614,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
27865,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
502045,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
470167,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
221167,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
20279,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
500935,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
357179,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
290526,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
411455,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
